accession,taxid,superkingdom,phylum,class,order,family,subfamily,genus,species
AP013375,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013376,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013377,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013378,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013379,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013380,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013381,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013382,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013383,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013384,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013385,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013386,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013387,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013388,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013389,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013390,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013391,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013392,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013393,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013394,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013395,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013396,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013397,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013398,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013399,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013400,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013401,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013402,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013403,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013404,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013405,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013406,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013407,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013408,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013409,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013410,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013411,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013412,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013413,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013414,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013415,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013416,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013417,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013418,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013419,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013420,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013421,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013422,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013423,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013424,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013425,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013426,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013427,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013428,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013429,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013430,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013431,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013432,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013433,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013434,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013435,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013436,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013437,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013438,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013439,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013440,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013441,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013442,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013443,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013444,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013445,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013446,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013447,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013448,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013449,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013450,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013451,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013452,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013453,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013454,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013455,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013456,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013457,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013458,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013459,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013460,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013461,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013462,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013463,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013464,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013465,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013466,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013467,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013468,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013469,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013470,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013471,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013472,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013473,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013474,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013475,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013476,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013477,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013478,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013479,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013480,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013481,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013482,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013483,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013484,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013485,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013486,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013487,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013488,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013489,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013490,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013491,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013492,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013493,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013494,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013495,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013496,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013497,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013498,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013499,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013500,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013501,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013502,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013503,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013504,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013505,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013506,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013507,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013508,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013509,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013510,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013511,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013512,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013513,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013514,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013515,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013516,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013517,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013518,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013519,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013520,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013521,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013522,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013523,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013524,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013525,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013526,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013527,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013528,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013529,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013530,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013531,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013532,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013533,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013534,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013535,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013536,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013537,1407671,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,uncultured Mediterranean phage uvMED
AP013538,2740801,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Ashivirus,Ashivirus S45C4
AP013539,2740802,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pedosvirus,Pedosvirus S28C3
AP013540,2741077,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Votkovvirus,Votkovvirus S28C10
AP013541,2741073,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Sieqvirus,Sieqvirus S42C7
AP013542,2741075,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Pelagivirus,Pelagivirus S35C6
AP013543,2741076,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Fussvirus,Fussvirus S30C28
AP013544,2741072,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Ayaqvirus,Ayaqvirus S45C18
AP013545,2741074,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Foussvirus,Foussvirus S46C10
AP013546,2740804,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Oinezvirus,Oinezvirus S37C6
AP013547,2740800,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Nohivirus,Nohivirus S31C1
AP013548,2740803,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Stopalavirus,Stopalavirus S38C3
AP013549,2740805,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Krakvirus,Krakvirus S39C11
AP014629,1537091,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,Gofduovirus,Edwardsiella virus GF2
